type,id,seller_id,amount,date,delta,best_candidate_order_ids,ai_explanation
UNRESOLVED_PAYOUT,PYT-00004,SLR-01,314.58,2026-08-10,-314.58,,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a payout entirely unrelated to this seller's order ledger, such as a standalone chargeback reversal or manual correction. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00017,SLR-03,1002.11,2026-08-13,244.98,ORD-00054,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a refund recorded in the payout rail but not yet reflected against the relevant order(s). This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00033,SLR-05,10883.15,2026-08-12,-853.32,ORD-00095;ORD-00100;ORD-00104,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a chargeback reversal credited back through this payout. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00041,SLR-06,2872.43,2026-08-15,96.9,ORD-00112;ORD-00114;ORD-00124,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a manual adjustment or correction not tied to any single order. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00044,SLR-07,1975.84,2026-08-06,-1975.84,,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a payout entirely unrelated to this seller's order ledger, such as a standalone chargeback reversal or manual correction. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00045,SLR-07,1382.87,2026-08-05,-1382.87,,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a payout entirely unrelated to this seller's order ledger, such as a standalone chargeback reversal or manual correction. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00059,SLR-09,2866.13,2026-08-05,-2866.13,,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is the orders that fund this payout not having arrived in the ledger yet. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00069,SLR-10,2557.89,2026-08-14,1098.16,ORD-00201,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is one or more orders that have not yet appeared in the order ledger (late-arriving orders). This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00071,SLR-10,742.64,2026-08-16,-742.64,,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is the orders that fund this payout not having arrived in the ledger yet. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
UNRESOLVED_PAYOUT,PYT-00074,SLR-11,10940.8,2026-08-07,58.88,ORD-00219;ORD-00230;ORD-00231,"POSSIBLE EXPLANATION: This payout could not be explained within tolerance. A likely cause is a chargeback reversal credited back through this payout. This is a hypothesis, not a confirmed cause -- it should be investigated manually against the seller's payout statement and any manual adjustment logs."
